tripId,Type,detail,phone
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,semiurban,surrounded by buildings but on an open road,pixel4
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4xl,semiurban,,pixel4xl
2020-07-08-22-28-us-ca/pixel4,semiurban,,pixel4
2020-07-08-22-28-us-ca/pixel4xl,semiurban,,pixel4xl
2020-07-17-22-27-us-ca-mtv-sf-280/pixel4,highway,,pixel4
2020-07-17-23-13-us-ca-sf-mtv-280/pixel4,highway,,pixel4
2020-07-17-23-13-us-ca-sf-mtv-280/pixel4xl,highway,,pixel4xl
2020-08-04-00-19-us-ca-sb-mtv-101/pixel4,semiurban,,pixel4
2020-08-04-00-20-us-ca-sb-mtv-101/pixel4xl,semiurban,,pixel4xl
2020-08-04-00-20-us-ca-sb-mtv-101/pixel5,semiurban,,pixel5
2020-08-13-21-41-us-ca-mtv-sf-280/pixel4,highway,,pixel4
2020-08-13-21-41-us-ca-mtv-sf-280/pixel4xl,highway,,pixel4xl
2020-08-13-21-42-us-ca-mtv-sf-280/pixel5,highway,,pixel5
2020-12-10-22-17-us-ca-sjc-c/mi8,urban,,mi8
2020-12-10-22-52-us-ca-sjc-c/mi8,urban,in the city center,mi8
2020-12-10-22-52-us-ca-sjc-c/pixel4,urban,,pixel4
2020-12-10-22-52-us-ca-sjc-c/pixel4xl,urban,,pixel4xl
2020-12-10-22-52-us-ca-sjc-c/pixel5,urban,,pixel5
2021-01-04-21-50-us-ca-e1highway280driveroutea/mi8,highway,,mi8
2021-01-04-21-50-us-ca-e1highway280driveroutea/pixel4,highway,some areas in the forest,pixel4
2021-01-04-21-50-us-ca-e1highway280driveroutea/pixel5,highway,,pixel5
2021-01-04-22-40-us-ca-mtv-a/mi8,highway,,mi8
2021-01-04-22-40-us-ca-mtv-a/pixel4,highway,,pixel4
2021-01-04-22-40-us-ca-mtv-a/pixel5,highway,,pixel5
2021-01-05-21-12-us-ca-mtv-d/mi8,urban,,mi8
2021-01-05-21-12-us-ca-mtv-d/pixel4,urban,,pixel4
2021-01-05-21-52-us-ca-mtv-d/mi8,urban,,mi8
2021-01-05-21-52-us-ca-mtv-d/pixel4,urban,,pixel4
2021-03-10-23-13-us-ca-mtv-h/mi8,urban,,mi8
2021-03-10-23-13-us-ca-mtv-h/pixel5,urban,,pixel5
2021-03-16-18-59-us-ca-mtv-a/mi8,highway,,mi8
2021-03-16-18-59-us-ca-mtv-a/pixel5,highway,,pixel5
2021-03-16-18-59-us-ca-mtv-a/sm-g988b,highway,,sm-g988b
2021-03-16-19-00-us-ca-mtv-a/pixel4xl,highway,,pixel4xl
2021-03-16-20-40-us-ca-mtv-b/mi8,semiurban,,mi8
2021-03-16-20-40-us-ca-mtv-b/pixel4xl,semiurban,,pixel4xl
2021-03-16-20-40-us-ca-mtv-b/pixel5,semiurban,,pixel5
2021-04-02-20-43-us-ca-mtv-f/mi8,urban,,mi8
2021-04-02-20-43-us-ca-mtv-f/pixel5,urban,,pixel5
2021-04-02-20-43-us-ca-mtv-f/sm-g988b,urban,,sm-g988b
2021-04-08-21-28-us-ca-mtv-k/pixel5,urban,,pixel5
2021-04-08-21-28-us-ca-mtv-k/sm-g988b,urban,,sm-g988b
2021-04-26-23-38-us-ca-mtv-h/mi8,urban,,mi8
2021-04-26-23-38-us-ca-mtv-h/sm-g988b,urban,,sm-g988b
2021-07-14-20-50-us-ca-mtv-e/pixel4,highway,,pixel4
2021-07-14-20-50-us-ca-mtv-e/pixel5,highway,,pixel5
2021-07-14-20-50-us-ca-mtv-e/sm-g988b,highway,,sm-g988b
2021-07-19-20-49-us-ca-mtv-a/mi8,highway,,mi8
2021-07-19-20-49-us-ca-mtv-a/pixel4,highway,,pixel4
2021-07-19-20-49-us-ca-mtv-a/pixel5,highway,,pixel5
2021-07-19-20-49-us-ca-mtv-a/sm-g988b,highway,,sm-g988b
2021-07-27-19-49-us-ca-mtv-b/mi8,semiurban,,mi8
2021-07-27-19-49-us-ca-mtv-b/pixel4,semiurban,,pixel4
2021-07-27-19-49-us-ca-mtv-b/pixel5,semiurban,,pixel5
2021-08-04-20-40-us-ca-sjc-c/sm-g988b,urban,,sm-g988b
2021-08-24-20-32-us-ca-mtv-h/mi8,urban,,mi8
2021-08-24-20-32-us-ca-mtv-h/pixel4,urban,,pixel4
2021-08-24-20-32-us-ca-mtv-h/pixel5,urban,,pixel5
2021-08-24-20-32-us-ca-mtv-h/sm-g988b,urban,,sm-g988b
2021-12-07-19-22-us-ca-lax-d/mi8,semiurban,,mi8
2021-12-07-19-22-us-ca-lax-d/pixel5,semiurban,,pixel5
2021-12-07-19-22-us-ca-lax-d/pixel6pro,semiurban,,pixel6pro
2021-12-07-19-22-us-ca-lax-d/sm-g988b,semiurban,,sm-g988b
2021-12-07-22-21-us-ca-lax-g/mi8,urban,,mi8
2021-12-07-22-21-us-ca-lax-g/pixel5,urban,,pixel5
2021-12-07-22-21-us-ca-lax-g/pixel6pro,urban,,pixel6pro
2021-12-07-22-21-us-ca-lax-g/sm-g988b,urban,,sm-g988b
2021-12-08-17-22-us-ca-lax-a/pixel5,urban,,pixel5
2021-12-08-17-22-us-ca-lax-a/pixel6pro,urban,,pixel6pro
2021-12-08-18-52-us-ca-lax-b/mi8,urban,,mi8
2021-12-08-18-52-us-ca-lax-b/pixel6pro,urban,,pixel6pro
2021-12-08-20-28-us-ca-lax-c/pixel5,highway,,pixel5
2021-12-08-20-28-us-ca-lax-c/pixel6pro,highway,,pixel6pro
2021-12-08-20-28-us-ca-lax-c/sm-g988b,highway,,sm-g988b
2021-12-09-17-06-us-ca-lax-e/pixel5,urban,,pixel5
